0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.17068733,-0.69819367,1.4980441,0.7052816,-0.7000043,0.47041413,0.2036458,2.504107,-1.4899176,-2.977654,2.3757067,0.82042235,0.59199595,4.419531,0.8570906,-2.6858094,-0.8465065,-2.0329897,-0.5284256,1.2082977,-1.6529984,0.18923849,-2.5340831,3.1013296,1.6869956,0.032806452,0.4983936,-1.9689815,1.5220238,-1.0609831,-2.2823954,0.5965983
-1.2766435,-2.4806836,0.93616295,1.0542358,1.8179073,-0.15954682,-0.8780367,1.9889745,-0.57375604,-0.04609394,-0.20669433,1.9630195,-0.56517863,3.4556298,-0.4878633,-0.50321996,0.38774037,-0.029366627,-1.002969,0.4697356,0.9000354,-2.8381581,-1.971061,0.87699974,1.2913761,-1.2116158,2.4872682,-2.2646317,2.6467526,-0.6578529,-3.4104896,2.6144764
-1.9269298,-1.9889458,1.5900866,1.5850341,-0.18637487,0.3033976,1.621647,1.9303252,-2.3909917,-3.1790435,0.08711515,1.0901265,-0.34058958,5.9188747,0.4785955,-2.3605564,0.2678623,-0.65038234,-1.6748517,0.1414223,-1.8145976,-0.20295608,-3.4912417,4.286783,1.1218331,-1.1897981,1.8847408,-3.970938,1.8062582,-0.7196378,-2.5357363,2.09777
-0.21849354,-1.0067866,1.5122713,-0.17894621,0.658383,-0.51378703,0.28037632,0.9702824,-0.55788195,-0.105754524,1.1793194,1.1892486,-0.16506636,3.092061,-0.45121288,-1.1591644,-0.77424943,-0.70449686,-0.12647897,1.8178505,-0.18077506,-1.6811019,-1.9307262,0.45622453,1.0633527,-0.11130772,1.8614234,-0.8098051,1.2373489,0.08095387,-2.4916885,1.4306463
-1.259076,-2.45778,1.4633495,0.082409784,1.8072488,0.36671537,0.9473516,1.3450383,-0.96148646,-1.0844945,0.12320119,1.0227946,0.4312033,3.601955,0.8397094,-1.3463511,-0.5851358,0.059670046,-1.3471204,1.8573668,0.9593954,-2.7796218,-4.903099,0.8465812,0.3320375,-0.7638146,1.2266192,-3.0648205,1.1102422,-0.00773309,-3.0525193,1.4526519
-0.7680387,-1.6020808,0.8079593,-0.049419813,0.12170151,-1.1367875,0.74166137,1.6484475,-1.7678974,-3.1572928,1.2282375,0.50993615,0.103480555,4.6634035,0.8860314,-2.834213,-1.1426889,-1.0182,-1.2555814,1.4311572,-0.77328086,-1.3754829,-2.9719012,2.8159978,1.2701538,-1.7573242,1.8158981,-3.276373,1.6824821,-0.456474,-2.3967316,1.7567753
-0.7978146,-1.2825983,0.4267751,-0.8850098,0.043931767,-2.1426556,-0.027935617,0.5817728,-0.16031152,-1.1827784,0.03984946,1.2440889,0.0042285696,3.4914205,-0.02402611,-1.465205,-0.5584221,-0.34007674,0.14707519,1.8201452,-0.2625914,-1.4937264,-3.1498694,0.18179289,0.35334086,-1.1862618,1.6721708,-2.4235952,1.1315315,-1.2068591,-2.7587357,1.4662567
-0.78725815,-1.4914254,2.1900635,0.09845317,0.4057722,-1.4762257,0.2527185,-0.4580556,-1.7724266,-1.5562276,1.5564619,2.045233,-0.76360077,4.3406844,-0.8673366,-1.2610843,-0.5466447,-2.299465,0.5764409,0.9026868,-1.1509804,-0.6975868,-2.1900506,2.1097245,1.7884674,-0.09286217,1.5401487,-1.3030803,-0.43140358,-1.1737082,-2.7301326,1.4356072
-0.743997,-1.0813464,0.97761035,0.4013707,-0.68013185,-1.9924434,0.2219562,3.9513428,-0.37787026,-2.7232666,1.1753175,2.4610908,0.7092153,6.512993,-1.3566319,-3.0582712,-1.0258317,-2.0897365,-0.93621904,1.4412683,-3.3700628,-0.45211747,-3.788145,3.2432196,0.36782247,0.7709018,3.095945,-3.6913908,1.5143054,-0.8833578,-3.0968218,3.0208192
-0.47335476,-1.1817365,0.8082234,-1.0087225,1.7428384,-0.8413108,0.3330581,0.8067217,-1.219414,-0.8421034,1.6846787,1.172271,-0.28213993,2.8682213,-0.74678427,-1.2006682,-0.63283527,-1.3840165,-0.34703106,2.0430965,0.54108006,-2.9933867,-2.5689814,0.9349185,2.728306,-0.5719094,2.469865,-2.8657887,-0.8343474,0.9442345,-3.0522845,1.2368555
-0.31214032,-0.859809,1.8224889,0.2702052,0.9937621,-0.9127497,0.34604186,1.2706084,-1.0921023,-1.1448247,0.5460508,0.93692344,-0.15460947,4.174466,-0.5346499,-1.8703318,-1.0220222,-1.7082741,-0.3597511,1.138472,-1.278833,-1.1584592,-2.4917464,1.5023925,0.6065067,0.35767636,1.6950731,-1.402086,0.51969486,-0.075387254,-2.5783174,2.0577033
-0.58839905,-1.907539,0.7028495,0.20574574,1.3963876,-1.1819258,-0.2585981,0.4089441,-1.3106753,-0.464033,0.49943364,0.9502526,-1.0465493,2.8330743,-0.23897682,-1.4477428,-1.6253828,-0.6783236,-0.34872854,0.577791,-0.58872175,-2.4853778,-1.556299,1.668952,1.5119183,-0.8172673,2.6132228,-0.9382303,1.9848719,-0.87858886,-2.905076,2.3269417
-0.88994336,-1.831936,1.2921581,0.87106776,1.5509541,-1.3276845,0.53777105,0.4155982,-1.970038,-1.6401422,-0.38805497,1.8410727,-0.97926897,4.7422395,-0.2990653,-1.4791347,-0.1785599,-0.9228474,-0.94578254,0.8147857,0.04128887,-1.7934768,-3.1067905,1.95823,0.99619853,-1.1653228,3.041836,-3.0003355,0.3212386,0.051677845,-3.3143032,2.8187904
