0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.5718628,0.7032224,0.13083155,-0.7694679,-0.40252316,-0.8024204,0.43098217,0.055700578,0.6309636,-1.1243494,0.1124921,0.3120466,-0.6420727,0.6996396,0.4178112,1.6233649,-0.54481137,1.1354457,0.13790679,0.17223397,-0.08973135,1.1408577,-0.13228318,-0.13290316,-1.6425635,0.91785645,0.46911907,1.3915231,-0.94716513,-0.22310928,0.20678356,-1.4091053
0.1422107,-0.30751652,0.56368846,-0.72504115,-1.8038194,-0.906166,0.2650033,-1.3462749,1.1748344,-0.72546494,0.1553171,-0.23718402,-0.49959028,-0.18049096,0.54057276,-0.12409096,1.1713142,-0.5435673,-1.2146953,-1.3355267,-1.2410321,0.031224802,0.31535736,0.74739015,0.41883832,-1.018075,0.85938245,-0.17089066,0.47868264,-0.0012010038,0.91451263,0.10897064
1.8128703,0.25654295,0.019276187,-0.88845223,-0.27150255,-1.546655,-0.09375444,0.5139171,0.48099315,-1.1438272,1.8086684,-0.95798695,-0.5111718,0.2884802,0.43037933,-0.09008231,0.09113881,-0.673788,1.949515,2.1978765,0.45118028,0.38826054,-0.95616335,0.42790335,0.054323554,0.82771826,0.734852,0.630138,-1.5503039,0.8723638,-0.28126058,-0.46253085
-0.012801606,1.3077402,0.39935482,1.7553303,0.3148751,-1.2365867,-0.622255,-0.4433772,0.18742645,0.42198765,0.31444246,0.19056818,1.4655137,1.745461,1.2232187,-0.8140679,0.07885204,-0.49215895,0.6644061,0.08106613,-0.2579608,-0.6103946,-0.32187435,1.6778557,-0.25150895,-0.043895684,0.9567205,-0.049627185,2.1017113,-0.7073158,-0.8715397,0.78653157
1.2311239,-0.8641739,1.4931967,-0.25145477,1.5395854,1.2026683,-1.6404927,1.4943616,0.37299576,0.6297696,0.07817916,-0.7396428,-0.670837,0.23437898,1.4566811,-0.084217,-0.05120249,-0.44746166,-0.9824075,0.19686012,0.1371018,-0.09323831,1.1916586,0.45279223,1.025331,-1.1092632,0.14937949,-0.9703387,0.8786175,0.75229037,-0.13045123,-2.7470872
0.600935,-0.4406169,0.039047223,-0.9117942,-1.6769178,-1.6416171,-0.85013247,-0.7513701,-0.49440363,0.8963438,2.062585,-0.22944558,-0.7272052,-0.5725066,1.0992198,0.111672625,-1.5769863,-1.3095772,1.5111415,1.7846434,0.62976766,0.29292235,1.0270469,0.035812914,-0.06920396,0.7105491,-0.8686695,-0.7051976,-0.5244634,-0.57455254,-0.5115005,-3.1749277
-0.4722174,-0.56254756,-0.448738,-0.69970566,-0.34149128,1.5948113,-1.9844434,-0.6633102,1.1667061,1.2943428,0.33019343,1.7243538,-1.5301899,-1.2490652,-0.77733254,-0.61902016,-0.25929272,-1.4096091,-0.1585445,1.1072004,1.8425092,-0.54294574,-1.0247949,0.68532175,0.56332475,-2.2254076,0.8840662,-0.9671285,0.41489053,-0.8001823,0.29886276,-1.6201181
-0.23647866,0.24963577,-1.3350714,-0.1806269,0.72714365,-0.23378499,-0.025368273,0.46432108,-0.8378266,0.43145156,0.46369535,0.3705785,-0.3718463,-1.3605914,0.06097517,0.5417917,0.4938063,-1.0326532,-1.5046637,0.7669101,-0.9278857,0.23196341,-0.021732539,0.5505824,0.55981135,1.295804,0.31393057,-0.29729652,-0.5483366,1.3368533,0.10599114,0.21322641
1.4397599,-0.36951277,-0.86793005,0.6060296,-0.5670403,1.8097315,0.43241084,0.44053572,0.7660704,-1.6244206,0.37187475,-0.036270335,0.18321458,1.556711,1.0998404,-0.3224888,-1.9493237,0.80318755,-0.19468069,1.2207248,-1.206862,0.076261744,-2.6704113,0.10058577,0.6245253,-0.06476903,-0.53686225,1.3993657,0.17564896,1.1307328,-0.046586163,-2.0924823
-0.52204055,0.8216709,0.7288196,-1.2004706,0.123295665,-1.0629152,-0.95292133,-0.0062144995,-0.93537724,-0.15490764,-1.0152687,-0.63773906,-0.20443414,-0.4013316,0.7814644,0.40325093,-0.039685905,-0.23911536,0.2854416,0.20325452,0.6295395,-1.2567996,-1.1640975,0.3024626,1.0741966,1.5373006,1.4074825,-1.0179747,0.13735211,-0.101523146,0.9371449,-0.7133805
-0.26915312,-0.072153896,-1.5000868,-1.2870682,-1.465723,-0.37513,-0.34204778,-0.14369708,-0.43748093,0.8602786,-0.72874874,-0.28606424,-0.3636657,-0.60700816,0.57123196,-0.7517242,-1.2313783,0.41406915,1.2641523,0.3586079,0.37009138,0.740266,-0.24813765,-0.07806954,-0.2037599,0.6074892,-0.14863613,0.025309809,0.3581335,0.22991285,-0.7702899,-1.4296111
-0.27645978,0.36726564,-0.5520845,0.46639603,0.1413973,-0.7819575,-0.6069806,0.17931324,-0.04430724,0.7611495,-0.19909406,-0.36538523,-0.9975822,0.6299139,0.9474858,-0.06376349,-0.0956906,-0.47241962,-0.19051215,-0.37548256,-1.0073822,0.018005302,-0.009885408,0.42215466,0.13276628,-0.09838031,0.18160884,-0.46131685,0.78662986,-0.39465964,-0.7568041,-0.2696758
0.7883444,0.43245584,0.8957255,0.31994486,0.37349913,0.79082763,-1.2673625,0.53253126,-0.58854437,-0.3332883,-0.37159878,-1.173421,-1.36913,-0.585126,1.6027706,1.320177,-0.889047,0.6737242,-0.6462411,0.52003676,-0.035002843,-0.38022095,-0.5389566,-1.4197412,2.0491014,-0.12632626,1.0076386,-0.6670515,1.7540681,0.89105463,-0.417621,0.7012006
-0.5022361,0.41974777,1.1479659,-0.7123953,-0.047691464,-0.26430896,-0.42884615,-0.4569546,-0.59644943,0.20580462,0.20243153,0.6392757,-1.2695671,-0.8824916,0.531194,0.8487859,0.34022158,0.6274108,0.47681746,-0.8111643,0.1814536,-1.216893,-0.6869446,0.07869073,1.018651,0.119880445,1.7203399,-0.053976208,0.61609316,0.62742966,0.9091691,-2.1684704
-0.58403796,0.6568749,-0.34893012,-1.0319071,-0.6152009,-0.9854103,-1.0224607,-0.072724506,-1.0578105,-0.040372,-0.6322235,-0.38478884,-0.40206042,-0.35592735,0.6963587,0.6628368,-0.31668884,-0.6587495,0.22365233,-0.13663498,-0.031120405,-0.59400433,-0.7582069,-0.6820844,0.56706494,0.22309704,0.72890145,0.36929432,0.090061314,-0.18052603,0.70421195,-0.20854592
1.4533926,-0.35466325,-0.1722359,0.0012925267,1.0745726,0.037232786,-0.30925885,0.22677991,-0.94180393,-0.04028439,-0.35922283,0.029956438,-0.27658734,0.14727746,0.24786578,-0.07371874,-0.13179338,-2.5333714,0.5732263,-0.9169621,0.4603739,-0.3804129,-0.37208173,-1.4268761,0.2009239,-0.33163482,-0.12403159,0.18615077,-0.2574958,-0.16361007,0.42670068,-1.6015506
0.6715832,0.11291583,0.43400636,-0.6267555,-0.27194563,1.0056331,-0.2539434,-0.14766264,-0.27144745,-0.40974295,-0.43651178,0.6741275,-0.5860272,-0.06978179,1.0210646,0.37149093,-0.5616437,0.627125,-0.25170082,-1.1437817,-1.0665808,0.19617306,-1.582794,1.0620759,0.54696286,-0.90717775,-1.0284173,-0.33867502,0.18081248,1.3987947,0.23215881,0.14511238
-0.10117699,-0.68665,0.8387016,1.8536494,-0.026021466,-0.29747993,-1.3224615,0.95641327,-0.45216396,1.098175,0.012440309,-1.3079523,-0.7434146,-2.8667357,0.19301873,0.4738096,0.21992497,-1.3020005,0.57868826,1.182931,-0.8831862,0.24729176,0.00095926225,0.90242016,-0.87924254,-0.5933669,0.30767688,-0.9865871,1.5198187,-0.09771858,0.6665052,-0.5543464
-2.4650528,-0.89839494,-1.5866431,2.4048574,0.09991148,2.2058325,-1.4251993,2.7093048,-0.47749412,3.1588507,-1.9882543,-2.2516603,1.2057874,3.6051342,0.11124101,2.6147923,-0.23314662,-1.7041705,1.9960728,-0.37121832,-2.8023973,2.6416888,1.017783,-2.9000516,-2.3061304,0.17871356,-0.706509,0.29967743,-1.2588038,0.5487995,2.3017735,0.7144608
0.07583881,0.48729786,-1.4960415,-0.50703573,-1.4709301,-0.9830499,-0.41944695,-0.9985083,0.3499201,1.8136958,0.55304515,0.7754042,-0.5931349,-1.4120513,1.3139974,0.038637206,-1.335666,0.22755665,0.5189366,0.82757473,-0.074814014,0.42170778,0.10334122,0.17241773,-0.76642966,0.8573711,-1.2891752,-0.22405365,0.31319466,0.21050438,0.68101406,-1.0141834
1.4450357,0.19928557,-0.1865587,-0.35290366,-1.5199448,0.14476956,-0.5581565,2.6577706,0.71881646,-0.87128806,0.37595305,-1.5937846,-0.5215391,1.0959882,0.21357869,-0.057572216,-0.31534877,0.452702,2.0777414,-0.3936204,-0.85354435,-2.2207682,1.0236953,-0.98218095,0.21759838,-0.71676755,-1.5885906,0.7801318,0.7268998,-2.572009,-0.8386998,-0.04979518
-0.053589396,1.1175216,-0.17608562,-0.17395428,-0.25148532,-0.901352,-1.0965221,-1.0326011,-1.13974,0.6420019,-0.3225599,-0.25354668,-1.091147,-1.30197,0.15794116,0.20283629,0.7641925,-0.52376693,0.5427773,0.97151697,-0.03202625,-0.3537979,-0.12976193,0.22414625,0.16983387,0.7464941,0.046926077,0.3355201,0.739127,-0.43611142,-0.5267405,-0.3562367
0.14215845,-0.29350054,-1.0026003,1.6437362,-0.8246764,-2.4810746,-1.3823206,-1.4357567,1.0622587,2.0805383,0.8176478,-0.5033662,1.3886641,-0.5056082,1.1081223,-1.094632,-1.475177,-0.12802869,2.0505,-0.25127196,0.047970742,0.46881068,0.44651753,0.18738884,-1.4211812,0.96732885,-0.036208645,0.595413,-0.9124766,1.2419167,1.1233467,-2.1587207
1.5570176,-0.70556945,0.15302569,-0.6760532,-0.7794858,-0.78609943,0.8223138,0.09085053,0.20869233,-1.3803712,0.7563508,0.62188065,-1.1109152,0.4847805,0.33738837,0.19238518,0.3844094,-0.019743279,-0.28717095,1.0440431,-0.25406528,2.0499032,-1.0071073,0.5787563,0.20172971,0.37090236,-1.1427402,0.24430194,-0.5341284,1.0903153,-0.020135067,-0.3109464
0.61112726,-1.098743,0.8731338,-1.0921863,-0.038924478,-0.089108996,0.26888326,-0.15588431,0.39714012,0.51508385,-0.2775877,0.44145828,0.36310163,0.021755844,0.7527381,-2.0014567,0.5432143,-0.17298684,-0.22148158,-0.32105458,-0.6208936,0.6643586,-0.62516344,1.075924,0.61429507,-0.36725017,0.36142248,-0.6755295,-1.0564593,1.4719919,-0.7236365,-1.0028456
-0.48279142,0.40663445,0.82695705,1.1021975,0.7846415,-0.7866864,-0.48691446,-0.28972143,0.31574965,-0.789284,-0.41836882,-1.198849,-1.8938099,-0.042774305,1.5555794,1.0642407,-0.1441666,0.51315176,0.030014962,-1.5432887,-0.14288165,0.13960834,-0.49435607,1.2243263,-0.074857734,-0.7168732,-0.4078841,-0.96543795,-0.5669575,0.4492974,-0.34186053,0.077470005
0.62135446,0.59321904,-0.6710799,-0.35633957,-1.6686299,-1.1697088,0.90319574,3.0374537,0.22630253,-1.2041669,-1.3150058,-0.18529844,-1.7741168,1.6703839,0.5529152,-0.92355406,0.037979662,-0.6891552,-0.057789296,2.5254173,-0.017214715,0.3604228,-0.5549544,0.06692308,0.3932498,0.16432473,-1.6310852,0.46992484,-0.020623159,-0.7811916,0.5610523,-0.12128852
0.10334197,0.003578633,0.53270847,0.620909,2.1474628,-1.5455899,0.6527631,0.85133463,-0.8252858,-1.4440489,-0.55374193,-0.5080642,-0.086580485,-0.2653416,-0.75110984,-0.357616,-0.90480775,-1.7414505,-0.69272447,0.6391276,-2.1589212,0.2679873,-0.9474871,-0.49900383,1.3569301,0.3926748,0.9601798,-0.40714353,-2.5935297,1.3556005,0.43954945,-0.89741015
0.022754833,-0.6045108,0.48788726,1.3463635,0.8570186,0.19338685,0.82229155,-0.54243577,-0.07552101,0.9684489,1.3264852,1.9814156,-0.94357955,0.046593413,0.5871744,-1.1587673,-1.459563,1.2504133,0.011015981,-0.011877917,-1.2584103,-0.76752925,-0.9306761,0.0024423897,0.20797464,0.55569357,0.8687477,0.2868073,0.69326216,0.9791154,0.76909506,0.16014934
-0.08621049,-0.34483764,-0.016318973,0.2255669,-0.4274829,0.4480482,-1.1924897,-0.8248454,0.11940344,-0.9833133,0.3865289,0.3259576,-0.7920897,-0.6572353,1.364025,-0.5180456,0.893222,0.15969567,-0.6843381,0.83817166,0.5895571,0.452834,0.28969643,0.36294264,0.8176575,0.14657286,0.33142924,1.1646943,0.44931385,1.003815,1.1372981,-0.84111357
-0.9601777,-1.8052495,0.06549984,-1.3452697,-1.5629537,-1.5980794,-0.13774942,1.2867272,0.00022736192,1.3471618,-1.888721,0.82182264,-1.1658621,-2.2632318,1.2309885,-1.1233065,-0.06387399,1.0328038,0.7660468,0.015655562,1.9658003,-0.9327754,-0.5170485,-0.37459397,0.0008164197,2.2469306,-1.3203322,0.072158664,0.048452497,-0.15567617,0.7229082,-1.3613997
0.7447236,-0.7720556,0.64912474,0.3858261,0.1762949,0.014845042,0.20217553,-0.25730836,0.80032367,-0.24533792,-0.58498037,-1.0319028,-1.8249776,-1.177599,0.53752416,-0.46039307,-0.0383507,0.40574297,0.33949497,0.21112984,-0.7230655,-0.17880641,-0.7986472,-0.040342167,0.67104006,-1.1144043,0.38606173,-0.3645361,0.18181753,-0.3077319,1.0418584,-0.46576688
-0.22103697,0.7264561,0.12468446,-0.025657408,0.70788336,-0.22234337,-0.21689734,0.6097599,-0.9725095,-1.829332,0.2617566,0.80100346,-1.255741,1.2196386,1.517095,0.6539875,0.09870878,-0.2801796,0.034061447,0.124050185,-0.15704644,0.19587815,-0.9733246,1.5317094,0.96705043,-0.5710572,-0.41286448,-0.7856451,0.14018464,0.61926913,0.43205506,-0.9949261
-0.51247275,0.6817945,-0.20418024,-0.17218879,0.31283376,-0.5046448,0.9711721,-0.32620358,-0.3787355,-0.37527138,0.8708003,0.37136593,-0.10570286,-0.28605223,0.2239024,0.2886331,-1.41912,-1.5988617,-0.5214329,-0.008945972,-0.09302055,-0.73870647,0.20554774,-0.15681687,0.6722038,-0.6639686,-0.015968613,0.047909148,0.7548317,0.20480657,-0.39684445,-0.73174834
